id;text;locale_key;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
295;列配置消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:customColumn;;BUTTON;1;;287;;
296;编辑消息模板;;false;/files/sms-template/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSmsTemplateEdit;;MENU;1;;115;files/sms-template/sms-template-edit;
297;新建消息模板;;false;/files/sms-template/new;;SELF;;false;true;false;false;false;false;systemSmsTemplateNew;;MENU;1;;115;files/sms-template/sms-template-edit;
298;查看消息模板;;false;/files/sms-template/:entityId/detail;;SELF;;false;true;false;false;false;false;systemSmsTemplateDetail;;MENU;1;;115;files/sms-template/sms-template-detail;
299;短信服务商配置;;false;/files/sms-supplier;;SELF;;false;false;false;false;false;false;systemSmsSupplierList;;MENU;1;;115;files/sms-supplier/sms-supplier-list;
300;新建短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:new;;BUTTON;1;;299;;
301;编辑短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:edit;;BUTTON;1;;299;;
302;查看短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:detail;;BUTTON;1;;299;;
303;删除短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:delete;;BUTTON;1;;299;;
304;导入短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:import;;BUTTON;1;;299;;
305;导出短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:export;;BUTTON;1;;299;;
306;打印短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:print;;BUTTON;1;;299;;
307;列配置短信服务商配置;;false;;;SELF;;false;true;false;false;false;false;system:smsSupplier:customColumn;;BUTTON;1;;299;;
308;编辑短信服务商配置;;false;/files/sms-supplier/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSmsSupplierEdit;;MENU;1;;115;files/sms-supplier/sms-supplier-edit;
309;新建短信服务商配置;;false;/files/sms-supplier/new;;SELF;;false;true;false;false;false;false;systemSmsSupplierNew;;MENU;1;;115;files/sms-supplier/sms-supplier-edit;
310;查看短信服务商配置;;false;/files/sms-supplier/:entityId/detail;;SELF;;false;true;false;false;false;false;systemSmsSupplierDetail;;MENU;1;;115;files/sms-supplier/sms-supplier-detail;
311;对象存储配置;;false;/files/oss-config;;SELF;;false;false;false;false;false;false;ossOssConfigList;;MENU;1;;115;files/oss-config/oss-config-list;
312;新建对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:new;;BUTTON;1;;311;;
313;编辑对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:edit;;BUTTON;1;;311;;
314;查看对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:detail;;BUTTON;1;;311;;
315;删除对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:delete;;BUTTON;1;;311;;
316;导入对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:import;;BUTTON;1;;311;;
317;导出对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:export;;BUTTON;1;;311;;
318;打印对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:print;;BUTTON;1;;311;;
319;列配置对象存储配置;;false;;;SELF;;false;true;false;false;false;false;oss:ossConfig:customColumn;;BUTTON;1;;311;;
320;编辑对象存储配置;;false;/files/oss-config/:entityId/edit;;SELF;;false;true;false;false;false;false;ossOssConfigEdit;;MENU;1;;115;files/oss-config/oss-config-edit;
321;新建对象存储配置;;false;/files/oss-config/new;;SELF;;false;true;false;false;false;false;ossOssConfigNew;;MENU;1;;115;files/oss-config/oss-config-edit;
